region,date_bin_start,year,catch_taxon,catch_name_en,landing_weight_kg,catch_kg
Covalima,01/06/18,2018,LWX,Jobfish,0.035852549,119.7809553
Covalima,01/06/18,2018,MOO,Moonfish,0.004325777,14.45213126
Covalima,01/06/18,2018,MZZ,Other,0.357992841,1196.030026
Covalima,01/06/18,2018,RAX,Short bodied mackerel,0.553072558,1847.778249
Covalima,01/06/18,2018,SDX,Mackerel scad,1.382798926,4619.838286
Covalima,01/06/18,2018,SNA,Snapper/seaperch,0.490399214,1638.39082
Covalima,01/06/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.076600018,255.9155126
Covalima,01/07/18,2018,BEN,Long tom,0.001663299,6.008703047
Covalima,01/07/18,2018,CGX,Jacks/Trevally/Other Scad,0.156002713,563.5630493
Covalima,01/07/18,2018,CJX,Fusilier,2.55E-04,0.92294445
Covalima,01/07/18,2018,CLP,Sardines/pilchards,0.603405124,2179.813574
Covalima,01/07/18,2018,FLY,Flying fish,0.048307184,174.5107088
Covalima,01/07/18,2018,GZP,Garfish,0.019612076,70.84903445
Covalima,01/07/18,2018,LWX,Jobfish,0.039008663,140.9196081
Covalima,01/07/18,2018,MOO,Moonfish,0.002908246,10.50609869
Covalima,01/07/18,2018,MZZ,Other,0.431406255,1558.464079
Covalima,01/07/18,2018,RAX,Short bodied mackerel,0.424896621,1534.94789
Covalima,01/07/18,2018,SDX,Mackerel scad,1.546741546,5587.636034
Covalima,01/07/18,2018,SNA,Snapper/seaperch,0.329875787,1191.683148
Covalima,01/07/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.108737652,392.8170313
Covalima,01/08/18,2018,BEN,Long tom,0.001142191,3.317434976
Covalima,01/08/18,2018,CGX,Jacks/Trevally/Other Scad,0.119025676,345.7039255
Covalima,01/08/18,2018,CJX,Fusilier,1.05E-04,0.304414098
Covalima,01/08/18,2018,CLP,Sardines/pilchards,0.421864748,1225.284359
Covalima,01/08/18,2018,FLY,Flying fish,0.025701881,74.64978434
Covalima,01/08/18,2018,GZP,Garfish,0.011789391,34.2416776
Covalima,01/08/18,2018,LWX,Jobfish,0.028362,82.37596333
Covalima,01/08/18,2018,MOO,Moonfish,0.003458353,10.04460686
Covalima,01/08/18,2018,MZZ,Other,0.428211419,1243.717936
Covalima,01/08/18,2018,RAX,Short bodied mackerel,0.399927961,1161.570094
Covalima,01/08/18,2018,SDX,Mackerel scad,2.191791239,6365.944378
Covalima,01/08/18,2018,SNA,Snapper/seaperch,0.544758199,1582.222034
Covalima,01/08/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.087459764,254.0223644
Covalima,01/09/18,2018,BEN,Long tom,8.26E-04,2.648156495
Covalima,01/09/18,2018,CGX,Jacks/Trevally/Other Scad,0.127158391,407.5775549
Covalima,01/09/18,2018,CJX,Fusilier,2.86E-04,0.917767784
Covalima,01/09/18,2018,CLP,Sardines/pilchards,0.638835706,2047.643827
Covalima,01/09/18,2018,FLY,Flying fish,0.037269609,119.4593278
Covalima,01/09/18,2018,GZP,Garfish,0.019995299,64.09042448
Covalima,01/09/18,2018,LWX,Jobfish,0.02823557,90.50275456
Covalima,01/09/18,2018,MOO,Moonfish,0.004439327,14.22926185
Covalima,01/09/18,2018,MZZ,Other,0.511676087,1640.062337
Covalima,01/09/18,2018,RAX,Short bodied mackerel,0.585028648,1875.177433
Covalima,01/09/18,2018,SDX,Mackerel scad,1.87579422,6012.435463
Covalima,01/09/18,2018,SNA,Snapper/seaperch,0.411045721,1317.514385
Covalima,01/09/18,2018,TUN,Tuna/Bonito/Other Mackerel,0.119366709,382.6030725
Covalima,01/10/18,2018,BEN,Long tom,9.14E-04,2.966075666
Covalima,01/10/18,2018,CGX,Jacks/Trevally/Other Scad,0.168163555,545.9619055
Covalima,01/10/18,2018,CJX,Fusilier,1.98E-04,0.644124647
Covalima,01/10/18,2018,CLP,Sardines/pilchards,0.494682103,1606.04112
Covalima,01/10/18,2018,FLY,Flying fish,0.024861786,80.71658561
Covalima,01/10/18,2018,GZP,Garfish,0.013535615,43.94489643
Covalima,01/10/18,2018,LWX,Jobfish,0.018943354,61.50173138
Covalima,01/10/18,2018,MOO,Moonfish,0.008907022,28.91764982
Covalima,01/10/18,2018,MZZ,Other,0.357241842,1159.825845
Covalima,01/10/18,2018,RAX,Short bodied mackerel,0.625416699,2030.4857
